fetched_at,SETTLEMENTDATE,REGIONID,PRICE,PRICE_STATUS,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,SCHEDULEDGENERATION,SEMISCHEDULEDGENERATION,NETINTERCHANGE
2026-08-21T03:49:14.254Z,2026-08-21T13:50:00,SA1,17.77878,,,,1126.18,244.99553,644.87447,-230.31
2026-08-21T03:49:14.254Z,2026-08-21T13:50:00,TAS1,16.06,,,,953.35,513.37611,343.48389,-96.49
2026-08-21T03:49:14.254Z,2026-08-21T13:50:00,VIC1,17.57197,,,,6923.97,4466.09381,2123.55619,-320.44
2026-08-21T03:54:14.289Z,2026-08-21T13:55:00,NSW1,52.3,,,,7808.62,4139.45992,2742.47008,-861.56
2026-08-21T03:54:14.289Z,2026-08-21T13:55:00,QLD1,-3.51,,,,4780.64,3210.82531,2710.06469,1224.27
2026-08-21T03:54:14.289Z,2026-08-21T13:55:00,SA1,44.97342,,,,1012.76,245.00116,626.83884,-141.4
2026-08-21T03:54:14.289Z,2026-08-21T13:55:00,TAS1,17.06,,,,949.37,532.03941,333.93059,-83.4
2026-08-21T03:54:14.289Z,2026-08-21T13:55:00,VIC1,45.91,,,,6543.34,4559.93636,1994.16364,6.75
2026-08-21T03:59:14.273Z,2026-08-21T14:00:00,NSW1,27.88,,,,7553.64,4123.59266,2679.81734,-673.04
2026-08-21T03:59:14.273Z,2026-08-21T14:00:00,QLD1,-1.92,,,,4741.05,3211.77562,2661.33438,1228.73
2026-08-21T03:59:14.273Z,2026-08-21T14:00:00,SA1,29.22608,,,,991.08,244.99822,598.79178,-149.8
2026-08-21T03:59:14.273Z,2026-08-21T14:00:00,TAS1,24.36775,,,,947.38,536.79766,321.09234,-89.49
2026-08-21T03:59:14.273Z,2026-08-21T14:00:00,VIC1,28.69605,,,,6526.7,4459.74843,1921.89157,-150.18
2026-08-21T04:04:14.320Z,2026-08-21T14:05:00,NSW1,47.76509,,,,7885.59,4181.41932,2596.17068,-1029.78
2026-08-21T04:04:14.320Z,2026-08-21T14:05:00,QLD1,-3.51,,,,4663.97,3230.429,2572.591,1236.4
2026-08-21T04:04:14.320Z,2026-08-21T14:05:00,SA1,44.99684,,,,911.17,245.00184,577.53816,-90.63
2026-08-21T04:04:14.320Z,2026-08-21T14:05:00,TAS1,29.1,,,,943.68,545.8219,343.2881,-54.57
2026-08-21T04:04:14.320Z,2026-08-21T14:05:00,VIC1,45.91,,,,6162.12,4429.5023,1844.7777,108.59
2026-08-21T04:09:14.278Z,2026-08-21T14:10:00,NSW1,52.21,,,,7784.34,4188.62219,2425.63781,-1091.06
2026-08-21T04:09:14.278Z,2026-08-21T14:10:00,QLD1,-3.51,,,,4763.06,3230.06581,2673.69419,1237.85
2026-08-21T04:09:14.278Z,2026-08-21T14:10:00,SA1,49.36145,,,,891.52,244.99851,536.79149,-111.92
2026-08-21T04:09:14.278Z,2026-08-21T14:10:00,TAS1,20.26196,,,,942.23,523.76094,338.35906,-80.11
2026-08-21T04:09:14.278Z,2026-08-21T14:10:00,VIC1,49.78268,,,,5965.58,4344.40596,1840.38404,216.91
2026-08-21T04:14:14.268Z,2026-08-21T14:15:00,NSW1,34.55094,,,,7671.82,4161.78733,2588.90267,-848.82
2026-08-21T04:14:14.268Z,2026-08-21T14:15:00,QLD1,-4.09,,,,4709.5,3230.06867,2581.74133,1193.96
2026-08-21T04:14:14.268Z,2026-08-21T14:15:00,SA1,38.30746,,,,994.82,245.00092,536.94908,-213.92
2026-08-21T04:14:14.268Z,2026-08-21T14:15:00,TAS1,16.06,,,,955.28,507.41146,347.86854,-100
2026-08-21T04:14:14.268Z,2026-08-21T14:15:00,VIC1,34,,,,6115.06,4277.75278,1968.99722,126.46
2026-08-21T04:19:14.280Z,2026-08-21T14:20:00,NSW1,35.11427,,,,7753.15,4160.20153,2528.72847,-988.53
2026-08-21T04:19:14.280Z,2026-08-21T14:20:00,QLD1,-3.51,,,,4747.42,3230.38081,2646.19919,1223.86
2026-08-21T04:19:14.280Z,2026-08-21T14:20:00,SA1,32.7483,,,,890.47,314.99594,505.24406,-71.82
2026-08-21T04:19:14.280Z,2026-08-21T14:20:00,TAS1,30.1,,,,962.34,552.09342,310.24658,-100
2026-08-21T04:19:14.280Z,2026-08-21T14:20:00,VIC1,34,,,,6117.92,4247.18376,1976.02624,101.1
2026-08-21T04:24:14.448Z,2026-08-21T14:25:00,NSW1,28.95,,,,7739.53,4132.43422,2434.36578,-1091.84
2026-08-21T04:24:14.448Z,2026-08-21T14:25:00,QLD1,-3,,,,4740.58,3230.96502,2678.30498,1268.78
