fetched_at,SOURCE,INTERVAL_DATETIME,REGIONID,POWER,QI,LASTCHANGED
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 09:30:00,VIC1,1356.017,0.6,2026/08/24 09:50:21
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 10:00:00,NSW1,3866.032,0.6,2026/08/24 10:20:19
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 10:00:00,QLD1,2479.323,0.6,2026/08/24 10:20:19
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 10:00:00,SA1,184.151,0.6,2026/08/24 10:20:20
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 10:00:00,TAS1,70.26,0.6,2026/08/24 10:20:20
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 10:00:00,VIC1,1728.559,0.6,2026/08/24 10:20:20
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 10:30:00,NSW1,4206.043,0.6,2026/08/24 10:50:19
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 10:30:00,QLD1,2461.861,0.6,2026/08/24 10:50:19
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 10:30:00,SA1,250.016,0.6,2026/08/24 10:50:19
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 10:30:00,TAS1,73.602,0.6,2026/08/24 10:50:19
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 10:30:00,VIC1,2087.394,0.6,2026/08/24 10:50:20
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 11:00:00,NSW1,4439.758,0.6,2026/08/24 11:20:19
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 11:00:00,QLD1,2678.737,0.6,2026/08/24 11:20:19
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 11:00:00,SA1,264.063,0.6,2026/08/24 11:20:19
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 11:00:00,TAS1,68.514,0.6,2026/08/24 11:20:19
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 11:00:00,VIC1,2321.608,0.6,2026/08/24 11:20:20
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 09:30:00,NSW1,3340.521,1,2026/08/24 09:48:59
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 09:30:00,QLD1,2336.977,0.7,2026/08/24 09:48:59
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 09:30:00,SA1,121.449,1,2026/08/24 09:48:59
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 09:30:00,TAS1,58.42,1,2026/08/24 09:48:59
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 09:30:00,VIC1,1336.406,0.7,2026/08/24 09:48:59
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 10:00:00,NSW1,3941.43,1,2026/08/24 10:19:17
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 10:00:00,QLD1,2588.632,0.7,2026/08/24 10:19:17
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 10:00:00,SA1,155.879,1,2026/08/24 10:19:17
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 10:00:00,TAS1,80.098,1,2026/08/24 10:19:17
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 10:00:00,VIC1,1732.571,0.7,2026/08/24 10:19:18
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 10:30:00,NSW1,4377.884,1,2026/08/24 10:48:54
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 10:30:00,QLD1,2864.562,0.7,2026/08/24 10:48:54
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 10:30:00,SA1,228.726,1,2026/08/24 10:48:54
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 10:30:00,TAS1,81.205,1,2026/08/24 10:48:54
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 10:30:00,VIC1,2211.382,0.7,2026/08/24 10:48:54
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 11:00:00,NSW1,4697.084,1,2026/08/24 11:18:57
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 11:00:00,QLD1,3021.515,0.7,2026/08/24 11:18:57
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 11:00:00,SA1,324.209,1,2026/08/24 11:18:58
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 11:00:00,TAS1,76.645,1,2026/08/24 11:18:58
2026-08-24T01:52:52.197Z,MEASUREMENT,2026/08/24 11:00:00,VIC1,2477.045,0.7,2026/08/24 11:18:58
2026-08-24T03:10:35.647Z,SATELLITE,2026/08/24 11:30:00,NSW1,4534.589,0.6,2026/08/24 11:50:24
2026-08-24T03:10:35.647Z,SATELLITE,2026/08/24 11:30:00,QLD1,2722.447,0.6,2026/08/24 11:50:24
2026-08-24T03:10:35.647Z,SATELLITE,2026/08/24 11:30:00,SA1,266.437,0.6,2026/08/24 11:50:24
2026-08-24T03:10:35.647Z,SATELLITE,2026/08/24 11:30:00,TAS1,82.199,0.6,2026/08/24 11:50:24
2026-08-24T03:10:35.647Z,SATELLITE,2026/08/24 11:30:00,VIC1,2466.311,0.6,2026/08/24 11:50:24
2026-08-24T03:10:35.647Z,SATELLITE,2026/08/24 12:00:00,NSW1,4518.554,0.6,2026/08/24 12:20:20
2026-08-24T03:10:35.647Z,SATELLITE,2026/08/24 12:00:00,QLD1,2711.58,0.6,2026/08/24 12:20:20
2026-08-24T03:10:35.647Z,SATELLITE,2026/08/24 12:00:00,SA1,273.413,0.6,2026/08/24 12:20:20
2026-08-24T03:10:35.647Z,SATELLITE,2026/08/24 12:00:00,TAS1,98.522,0.6,2026/08/24 12:20:20
2026-08-24T03:10:35.647Z,SATELLITE,2026/08/24 12:00:00,VIC1,2489.05,0.6,2026/08/24 12:20:20
2026-08-24T03:10:35.647Z,SATELLITE,2026/08/24 12:30:00,NSW1,4403.94,0.6,2026/08/24 12:50:22
2026-08-24T03:10:35.647Z,SATELLITE,2026/08/24 12:30:00,QLD1,2808.939,0.6,2026/08/24 12:50:22
2026-08-24T03:10:35.647Z,SATELLITE,2026/08/24 12:30:00,SA1,270.345,0.6,2026/08/24 12:50:22
2026-08-24T03:10:35.647Z,SATELLITE,2026/08/24 12:30:00,TAS1,96.146,0.6,2026/08/24 12:50:22
2026-08-24T03:10:35.647Z,SATELLITE,2026/08/24 12:30:00,VIC1,2369.365,0.6,2026/08/24 12:50:22
2026-08-24T03:10:35.647Z,MEASUREMENT,2026/08/24 11:30:00,NSW1,4924.574,1,2026/08/24 11:49:01
2026-08-24T03:10:35.647Z,MEASUREMENT,2026/08/24 11:30:00,QLD1,3231.082,0.7,2026/08/24 11:49:01
2026-08-24T03:10:35.647Z,MEASUREMENT,2026/08/24 11:30:00,SA1,358.797,1,2026/08/24 11:49:01
2026-08-24T03:10:35.647Z,MEASUREMENT,2026/08/24 11:30:00,TAS1,90.397,1,2026/08/24 11:49:01
2026-08-24T03:10:35.647Z,MEASUREMENT,2026/08/24 11:30:00,VIC1,2578.723,0.7,2026/08/24 11:49:01
2026-08-24T03:10:35.647Z,MEASUREMENT,2026/08/24 12:00:00,NSW1,5008.192,1,2026/08/24 12:18:54
2026-08-24T03:10:35.647Z,MEASUREMENT,2026/08/24 12:00:00,QLD1,3236.356,0.7,2026/08/24 12:18:54
2026-08-24T03:10:35.647Z,MEASUREMENT,2026/08/24 12:00:00,SA1,343.443,1,2026/08/24 12:18:54
2026-08-24T03:10:35.647Z,MEASUREMENT,2026/08/24 12:00:00,TAS1,125.509,1,2026/08/24 12:18:54
2026-08-24T03:10:35.647Z,MEASUREMENT,2026/08/24 12:00:00,VIC1,2596.677,0.7,2026/08/24 12:18:54
