SETTLEMENTDATE,REGIONID,RRP,TOTALDEMAND,NETINTERCHANGE,SCHEDULEDGENERATION,SEMISCHEDULEDGENERATION
2026-08-23T14:55:00,SA1,1.26294,550.92,81.38,83.00209,537.00791
2026-08-23T14:55:00,TAS1,15.24,996.94,-441,371.07516,184.86484
2026-08-23T14:55:00,VIC1,1.4,4290.55,187.91,2593.99766,1868.07234
2026-08-23T15:00:00,NSW1,23.94021,7455.78,-719.69,3123.35334,3563.81666
2026-08-23T15:00:00,QLD1,-6.14,4640.65,942.29,3403.40025,2116.94975
2026-08-23T15:00:00,SA1,3.51237,536.94,34.91,82.99925,478.96075
2026-08-23T15:00:00,TAS1,4.07367,1000.19,-401.32,372.89501,225.97499
2026-08-23T15:00:00,VIC1,3.85,4243.57,279.11,2614.00381,1894.77619
2026-08-23T15:05:00,NSW1,1.2,7346.48,-685.6,3134.42011,3476.96989
2026-08-23T15:05:00,QLD1,-6,4808.25,970.41,3435.09557,2278.90443
2026-08-23T15:05:00,SA1,0.88,679.8,-50.38,82.99996,540.29004
2026-08-23T15:05:00,TAS1,0.99857,992.82,-378.57,403.801,210.449
2026-08-23T15:05:00,VIC1,0.94668,4234.48,271.6,2677.00073,1821.88927
2026-08-23T15:10:00,NSW1,31.26041,7100.63,-344.43,3264.98003,3444.48997
2026-08-23T15:10:00,QLD1,-6,4851.84,960.1,3428.74691,2320.17309
2026-08-23T15:10:00,SA1,-6.27077,694.22,-209.37,82.99848,399.79152
2026-08-23T15:10:00,TAS1,-5.76,994.98,-419.71,374.73968,200.53032
2026-08-23T15:10:00,VIC1,-6.51,4296.75,128.44,2782.99759,1638.96241
